date,trial_id,sample1_id,sample2_id,start_time,sample1_mass_pre,sample2_mass_pre,sample1_mass_post,sample2_mass_post,disc1_pre,disc2_pre,ignition_delay,flame_duration,flame_height,disc1_post,disc2_post,vol_burned_sample1,vol_burned_sample2,max_temp,self_ignition,self_ig_start,ignite_others,notes
06/12/2025,1,DCK12,DCK06,18:58:00,304,285,55,78,130.5,139.33,7,163,28,314.4,293.6,90,95,440.7,0,,yes,
06/12/2025,2,DCK11,DCK01,19:12:00,347,480,47,87,140.6,155.6,10,320,30,326.6,286.4,95,95,432,0,,yes,
06/12/2025,3,DCK04,DCK05,19:25:00,270,519,69,166,143.8,150.5,8,213,38,310.6,345.4,90,95,477.4,0,,yes,
06/12/2025,4,DCK26,DCK19,19:36:00,429,647,103,94,138.8,156.8,15,364,37,325.33,313.6,90,95,538.9,0,,yes,
06/12/2025,5,DCK18,DCK23,19:53:00,343,503,62,80,146.5,141.7,0,349,39,298.6,304.3,95,95,510.8,1,07:55:00 PM,yes,
06/12/2025,6,DCK24,DCK17,20:07:00,413,528,91,109,135.9,136.2,15,367,40,176.3,280.1,95,90,462.7,0,,yes,
06/12/2025,7,DCK31,DCK28,20:32:00,271,481,37,70,129,142.4,15,286,41,299.6,279.3,95,90,443.9,0,,yes,
06/12/2025,8,DCK03,DCK02,20:45:00,482,615,84,120,149.1,155.9,5,345,42,274.1,339.2,95,95,478.2,0,,yes,
06/13/2025,9,DCK09,DCK21,17:41:00,583,617,66,95,131.4,144.5,7,350,34,264.6,274.8,97,97,526,0,,yes,
06/13/2025,10,DCK16,DCK27,17:55:00,298,427,62,79,139.2,134.7,4,211,23,313.6,340.2,93,95,467.2,0,,yes,
06/13/2025,11,DCK07,DCK06,18:06:00,327,462,62,92,143.1,139.5,12,210,35,379.2,370.9,93,93,493.1,0,,yes,
06/13/2025,12,DCK20,DCK29,18:18:00,403,611,86,89,146.6,142.3,18,352,25,368.5,290,90,97,463.5,0,,yes,
06/13/2025,13,DCK15,DCK25,18:36:00,416,588,46,62,132.5,147.7,25,385,29,270.5,297.5,97,97,445.7,0,,yes,
06/13/2025,14,DCK26,DCK10,18:50:00,260,401,61,48,137.9,149.1,2,307,28,324.9,374.5,90,95,441.5,0,,yes,
06/13/2025,15,DCK14,DCK22,19:01:00,527,745,127,124,133.7,140.2,18,445,38,263.8,310.6,90,95,549.3,0,,yes,
06/16/2025,16,DCK47,DCK48,08:00:00,,,71,27,133,138.5,40,241,41,332,284.3,90,98,508.4,0,,yes,pre mass missing
06/16/2025,17,DCK45,DCK46,08:12:00,361,216,59,55,143.4,135.3,45,270,32,221.5,278.8,97,97,344.2,0,,yes,
06/16/2025,18,DCK44,DCK43,08:24:00,462,332,53,48,141.5,142.2,65,317,34,284.5,241.4,85,97,442.4,0,,yes,
06/16/2025,19,DCK42,DCK41,08:41:00,634,424,113,65,137.3,140,38,382,39,380.3,379.3,97,98,497.7,0,,yes,
06/16/2025,20,DCK39,DCK40,08:58:00,326,335,42,62,137.8,140.2,55,242,40,271.2,275.8,97,97,444.8,0,,yes,
06/16/2025,21,DCK38,DCK37,09:12:00,460,605,92,88,148.8,140.9,80,567,34,283.7,293.7,90,95,540.3,0,,yes,
06/16/2025,22,DCK34,DCK35,09:29:00,592,549,99,83,132.3,135.6,21,437,36,301.3,373,97,97,503.8,0,,yes,
06/16/2025,23,DCK33,DCK36,09:43:00,393,354,65,95,135.5,134.9,26,645,24,230.4,227.9,85,97,322.9,0,,yes,
06/16/2025,24,DCK54,DCK56,09:41:00,467.3,402.5,92.4,69.6,134.5,145.9,86,248,22,254,304,90,95,450.6,0,,yes,
06/16/2025,25,DCK53,DCK55,09:54:00,255.7,461.6,81.8,106.9,147.5,133.7,86,234,27,261.9,307.4,80,90,377.3,0,,yes,
06/16/2025,26,DCK51,DCK52,10:12:00,481,638.1,154.6,164.9,135.3,143.1,48,303,27,200.2,296.6,60,75,347,0,,yes,
06/16/2025,27,DCK49,DCK50,10:24:00,565.3,519.1,73.8,33.2,150.3,141.7,85,530,32,294.6,336.7,95,97,461.1,0,,yes,
06/16/2025,28,DCK58,DCK59,10:40:00,502.3,400.7,114.2,42.4,149.9,149.3,68,481,26,197.3,221.1,75,95,359.4,0,,yes,
06/16/2025,29,DCK57,DCK60,11:06:00,436.5,379.1,165.4,293.7,130.9,138.6,55,195,22,132.1,175.6,30,2,207,0,,yes,
06/16/2025,30,DCK61,DCK62,11:16:00,633.3,415.7,112.8,92.7,140.4,142.7,86,480,32,296.7,293.1,95,97,436.4,0,,yes,
06/18/2025,31,DCK66,DCK69,20:33:00,272.4,218.6,226,150.8,148.4,148.5,35,75,22,125.6,121.5,8,20,129.9,0,,yes,
06/18/2025,32,DCK67,DCK68,20:43:00,129.4,235.2,98.9,160.7,137.6,136.6,29,122,20,122,116.2,10,30,122,0,,yes,
06/18/2025,33,DCK71,DCK72,21:03:00,188,143.8,158,110.8,132.2,134.4,18,22,11,124.5,105.9,10,2,124.5,0,,yes,
06/18/2025,34,DCK73,DCK75,21:10:00,213.5,180.4,169.9,140.3,142.6,144.7,50,28,21,107.9,107.3,5,2,107.9,0,,yes,
06/18/2025,35,DCK74,DCK76,21:18:00,258.3,203.8,188.8,164.1,138.5,132.7,40,5,13,101.7,103.6,5,3,103.6,0,,yes,
06/18/2025,36,DCK77,DCK80,21:25:00,180.6,200.1,146.3,168.4,140.2,136,25,6,12,115.1,118.8,5,5,118.8,0,,yes,
06/18/2025,37,DCK78,DCK79,21:34:00,152.3,156.7,117.9,109.1,142.6,149.6,15,5,10,125.4,111.1,3,4,125.4,0,,yes,
