"Plot Title: flam.left"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1282995, SEN S/N: 1282995, LBL: k)","Temp, °C (LGR S/N: 1282995, SEN S/N: 1282995, LBL: temp)","Host Connected (LGR S/N: 1282995)","Stopped (LGR S/N: 1282995)","End Of File (LGR S/N: 1282995)"
1,07/13/25 01:20:56 PM,22.63,21.437,,,
2,07/13/25 01:20:57 PM,22.63,21.437,,,
3,07/13/25 01:20:58 PM,22.63,21.437,,,
4,07/13/25 01:20:59 PM,22.63,21.437,,,
5,07/13/25 01:21:00 PM,22.63,21.461,,,
6,07/13/25 01:21:01 PM,22.63,21.461,,,
7,07/13/25 01:21:02 PM,22.63,21.485,,,
8,07/13/25 01:21:03 PM,22.63,21.485,,,
9,07/13/25 01:21:04 PM,22.63,21.509,,,
10,07/13/25 01:21:05 PM,22.63,21.533,,,
11,07/13/25 01:21:06 PM,22.63,21.533,,,
12,07/13/25 01:21:07 PM,22.63,21.533,,,
13,07/13/25 01:21:08 PM,22.63,21.557,,,
14,07/13/25 01:21:09 PM,22.63,21.557,,,
15,07/13/25 01:21:10 PM,22.97,21.581,,,
16,07/13/25 01:21:11 PM,22.63,21.604,,,
17,07/13/25 01:21:12 PM,22.63,21.604,,,
18,07/13/25 01:21:13 PM,22.63,21.628,,,
19,07/13/25 01:21:14 PM,22.63,21.652,,,
20,07/13/25 01:21:15 PM,22.63,21.676,,,
21,07/13/25 01:21:16 PM,22.63,21.676,,,
22,07/13/25 01:21:17 PM,22.63,21.700,,,
23,07/13/25 01:21:18 PM,22.63,21.724,,,
24,07/13/25 01:21:19 PM,22.63,21.724,,,
25,07/13/25 01:21:20 PM,22.63,21.748,,,
26,07/13/25 01:21:21 PM,22.63,21.772,,,
27,07/13/25 01:21:22 PM,22.63,21.772,,,
28,07/13/25 01:21:23 PM,22.97,21.795,,,
29,07/13/25 01:21:24 PM,22.63,21.819,,,
30,07/13/25 01:21:25 PM,22.97,21.819,,,
31,07/13/25 01:21:26 PM,22.63,21.843,,,
32,07/13/25 01:21:27 PM,22.63,21.867,,,
33,07/13/25 01:21:28 PM,22.63,21.891,,,
34,07/13/25 01:21:29 PM,22.63,21.891,,,
35,07/13/25 01:21:30 PM,22.63,21.891,,,
