"Plot Title: flam.mid"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247374, SEN S/N: 2247374, LBL: k)","Temp, °C (LGR S/N: 2247374, SEN S/N: 2247374, LBL: temp)","Host Connected (LGR S/N: 2247374)","Stopped (LGR S/N: 2247374)","End Of File (LGR S/N: 2247374)"
1,07/13/25 01:20:37 PM,22.63,21.413,,,
2,07/13/25 01:20:38 PM,22.63,21.413,,,
3,07/13/25 01:20:39 PM,22.63,21.413,,,
4,07/13/25 01:20:40 PM,22.97,21.413,,,
5,07/13/25 01:20:41 PM,22.63,21.437,,,
6,07/13/25 01:20:42 PM,22.63,21.437,,,
7,07/13/25 01:20:43 PM,22.63,21.437,,,
8,07/13/25 01:20:44 PM,22.63,21.437,,,
9,07/13/25 01:20:45 PM,22.63,21.461,,,
10,07/13/25 01:20:46 PM,22.63,21.461,,,
11,07/13/25 01:20:47 PM,22.63,21.461,,,
12,07/13/25 01:20:48 PM,22.63,21.485,,,
13,07/13/25 01:20:49 PM,22.63,21.485,,,
14,07/13/25 01:20:50 PM,22.63,21.485,,,
15,07/13/25 01:20:51 PM,22.63,21.509,,,
16,07/13/25 01:20:52 PM,22.63,21.509,,,
17,07/13/25 01:20:53 PM,22.63,21.509,,,
18,07/13/25 01:20:54 PM,22.63,21.533,,,
19,07/13/25 01:20:55 PM,22.97,21.533,,,
20,07/13/25 01:20:56 PM,22.63,21.533,,,
21,07/13/25 01:20:57 PM,22.63,21.533,,,
22,07/13/25 01:20:58 PM,22.63,21.533,,,
23,07/13/25 01:20:59 PM,22.63,21.557,,,
24,07/13/25 01:21:00 PM,22.63,21.557,,,
25,07/13/25 01:21:01 PM,22.63,21.557,,,
26,07/13/25 01:21:02 PM,22.63,21.557,,,
27,07/13/25 01:21:03 PM,22.63,21.557,,,
28,07/13/25 01:21:04 PM,22.63,21.581,,,
29,07/13/25 01:21:05 PM,22.63,21.581,,,
30,07/13/25 01:21:06 PM,22.63,21.581,,,
31,07/13/25 01:21:07 PM,22.63,21.581,,,
32,07/13/25 01:21:08 PM,22.63,21.581,,,
33,07/13/25 01:21:09 PM,22.97,21.581,,,
34,07/13/25 01:21:10 PM,22.63,21.581,,,
35,07/13/25 01:21:11 PM,22.63,21.604,,,
36,07/13/25 01:21:12 PM,22.63,21.604,,,
37,07/13/25 01:21:13 PM,22.63,21.604,,,
38,07/13/25 01:21:14 PM,22.63,21.604,,,
39,07/13/25 01:21:15 PM,22.63,21.604,,,
40,07/13/25 01:21:16 PM,22.63,21.604,,,
41,07/13/25 01:21:17 PM,22.63,21.604,,,
42,07/13/25 01:21:18 PM,22.63,21.628,,,
43,07/13/25 01:21:19 PM,22.63,21.604,,,
44,07/13/25 01:21:20 PM,22.63,21.628,,,
45,07/13/25 01:21:21 PM,22.63,21.628,,,
46,07/13/25 01:21:22 PM,22.63,21.628,,,
47,07/13/25 01:21:23 PM,22.63,21.628,,,
48,07/13/25 01:21:24 PM,22.63,21.628,,,
49,07/13/25 01:21:25 PM,22.63,21.628,,,
50,07/13/25 01:21:26 PM,22.97,21.628,,,
51,07/13/25 01:21:27 PM,22.63,21.628,,,
52,07/13/25 01:21:28 PM,22.63,21.652,,,
53,07/13/25 01:21:29 PM,22.63,21.652,,,
54,07/13/25 01:21:30 PM,22.97,21.652,,,
55,07/13/25 01:21:31 PM,22.63,21.628,,,
56,07/13/25 01:21:32 PM,22.63,21.652,,,
57,07/13/25 01:21:33 PM,22.63,21.652,,,
58,07/13/25 01:21:34 PM,22.63,21.652,,,
59,07/13/25 01:21:35 PM,22.63,21.652,,,
60,07/13/25 01:21:36 PM,22.63,21.652,,,
61,07/13/25 01:21:37 PM,22.63,21.652,,,
62,07/13/25 01:21:38 PM,22.97,21.652,,,
63,07/13/25 01:21:39 PM,22.63,21.652,,,
64,07/13/25 01:21:40 PM,22.63,21.676,,,
65,07/13/25 01:21:41 PM,22.63,21.676,,,
66,07/13/25 01:21:42 PM,22.63,21.676,,,
67,07/13/25 01:21:43 PM,22.63,21.676,,,
68,07/13/25 01:21:44 PM,22.63,21.676,,,
69,07/13/25 01:21:45 PM,22.63,21.676,,,
70,07/13/25 01:21:46 PM,22.63,21.676,,,
71,07/13/25 01:21:47 PM,22.63,21.676,,,
72,07/13/25 01:21:48 PM,22.63,21.676,,,
73,07/13/25 01:21:49 PM,22.63,21.676,,,
74,07/13/25 01:21:50 PM,22.63,21.676,,,
75,07/13/25 01:21:51 PM,22.63,21.676,,,
76,07/13/25 01:21:52 PM,22.63,21.700,,,
77,07/13/25 01:21:53 PM,22.63,21.700,,,
78,07/13/25 01:21:54 PM,22.63,21.700,,,
79,07/13/25 01:21:55 PM,22.97,21.700,,,
80,07/13/25 01:21:56 PM,22.63,21.700,,,
81,07/13/25 01:21:57 PM,22.63,21.700,,,
82,07/13/25 01:21:58 PM,22.63,21.700,,,
83,07/13/25 01:21:59 PM,22.63,21.700,,,
84,07/13/25 01:22:00 PM,22.63,21.724,,,
85,07/13/25 01:22:01 PM,22.63,21.700,,,
86,07/13/25 01:22:02 PM,22.97,21.724,,,
87,07/13/25 01:22:03 PM,22.63,21.700,,,
88,07/13/25 01:22:04 PM,22.97,21.724,,,
89,07/13/25 01:22:05 PM,22.63,21.724,,,
90,07/13/25 01:22:06 PM,22.97,21.724,,,
91,07/13/25 01:22:07 PM,22.97,21.724,,,
92,07/13/25 01:22:08 PM,22.63,21.724,,,
93,07/13/25 01:22:09 PM,22.63,21.724,,,
94,07/13/25 01:22:10 PM,22.97,21.724,,,
95,07/13/25 01:22:11 PM,22.63,21.724,,,
96,07/13/25 01:22:12 PM,22.63,21.724,,,
97,07/13/25 01:22:13 PM,22.63,21.724,,,
98,07/13/25 01:22:14 PM,22.63,21.724,,,
99,07/13/25 01:22:15 PM,22.97,21.724,,,
100,07/13/25 01:22:16 PM,22.63,21.724,,,
101,07/13/25 01:22:17 PM,22.63,21.724,,,
102,07/13/25 01:22:18 PM,22.97,21.724,,,
103,07/13/25 01:22:19 PM,22.97,21.748,,,
104,07/13/25 01:22:20 PM,22.97,21.748,,,
105,07/13/25 01:22:21 PM,22.63,21.748,,,
106,07/13/25 01:22:22 PM,22.63,21.748,,,
107,07/13/25 01:22:23 PM,22.63,21.748,,,
108,07/13/25 01:22:24 PM,22.63,21.748,,,
109,07/13/25 01:22:25 PM,22.63,21.748,,,
110,07/13/25 01:22:26 PM,22.97,21.748,,,
111,07/13/25 01:22:27 PM,22.63,21.748,,,
112,07/13/25 01:22:28 PM,22.63,21.748,,,
113,07/13/25 01:22:29 PM,22.97,21.772,,,
114,07/13/25 01:22:30 PM,22.63,21.748,,,
115,07/13/25 01:22:31 PM,22.63,21.748,,,
116,07/13/25 01:22:32 PM,22.63,21.772,,,
117,07/13/25 01:22:33 PM,22.97,21.772,,,
118,07/13/25 01:22:34 PM,22.63,21.772,,,
119,07/13/25 01:22:35 PM,22.97,21.772,,,
120,07/13/25 01:22:36 PM,22.63,21.772,,,
121,07/13/25 01:22:37 PM,22.63,21.772,,,
122,07/13/25 01:22:38 PM,22.63,21.772,,,
123,07/13/25 01:22:39 PM,22.63,21.772,,,
124,07/13/25 01:22:40 PM,22.97,21.772,,,
125,07/13/25 01:22:41 PM,22.63,21.772,,,
126,07/13/25 01:22:42 PM,22.97,21.772,,,
127,07/13/25 01:22:43 PM,22.97,21.795,,,
128,07/13/25 01:22:44 PM,22.97,21.772,,,
129,07/13/25 01:22:45 PM,22.97,21.772,,,
130,07/13/25 01:22:46 PM,22.97,21.772,,,
131,07/13/25 01:22:47 PM,22.97,21.795,,,
132,07/13/25 01:22:48 PM,22.97,21.772,,,
133,07/13/25 01:22:49 PM,22.97,21.795,,,
134,07/13/25 01:22:50 PM,22.97,21.795,,,
135,07/13/25 01:22:51 PM,22.97,21.795,,,
136,07/13/25 01:22:52 PM,22.97,21.795,,,
137,07/13/25 01:22:53 PM,22.97,21.795,,,
138,07/13/25 01:22:54 PM,22.97,21.795,,,
139,07/13/25 01:22:55 PM,22.97,21.795,,,
140,07/13/25 01:22:56 PM,22.97,21.795,,,
141,07/13/25 01:22:57 PM,22.97,21.795,,,
142,07/13/25 01:22:58 PM,22.97,21.795,,,
143,07/13/25 01:22:59 PM,22.97,21.795,,,
144,07/13/25 01:23:00 PM,22.97,21.795,,,
145,07/13/25 01:23:01 PM,22.97,21.795,,,
146,07/13/25 01:23:02 PM,22.97,21.795,,,
147,07/13/25 01:23:03 PM,22.97,21.819,,,
148,07/13/25 01:23:04 PM,22.97,21.819,,,
149,07/13/25 01:23:05 PM,22.97,21.819,,,
150,07/13/25 01:23:06 PM,22.97,21.819,,,
151,07/13/25 01:23:07 PM,22.97,21.819,,,
152,07/13/25 01:23:08 PM,22.97,21.819,,,
153,07/13/25 01:23:09 PM,22.97,21.819,,,
154,07/13/25 01:23:10 PM,22.97,21.819,,,
155,07/13/25 01:23:11 PM,22.97,21.819,,,
156,07/13/25 01:23:12 PM,22.97,21.819,,,
157,07/13/25 01:23:13 PM,22.97,21.819,,,
158,07/13/25 01:23:14 PM,22.97,21.819,,,
159,07/13/25 01:23:15 PM,22.97,21.843,,,
160,07/13/25 01:23:16 PM,22.97,21.843,,,
161,07/13/25 01:23:17 PM,22.97,21.819,,,
162,07/13/25 01:23:18 PM,22.97,21.843,,,
163,07/13/25 01:23:19 PM,22.97,21.843,,,
164,07/13/25 01:23:20 PM,22.97,21.843,,,
165,07/13/25 01:23:21 PM,22.97,21.843,,,
166,07/13/25 01:23:22 PM,22.97,21.843,,,
167,07/13/25 01:23:23 PM,22.97,21.843,,,
168,07/13/25 01:23:24 PM,22.97,21.843,,,
169,07/13/25 01:23:25 PM,22.97,21.843,,,
170,07/13/25 01:23:26 PM,22.97,21.843,,,
171,07/13/25 01:23:27 PM,22.97,21.843,,,
172,07/13/25 01:23:28 PM,22.97,21.843,,,
173,07/13/25 01:23:29 PM,22.97,21.843,,,
