"Plot Title: flam.mid"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247374, SEN S/N: 2247374, LBL: k)","Temp, °C (LGR S/N: 2247374, SEN S/N: 2247374, LBL: temp)","Host Connected (LGR S/N: 2247374)","Stopped (LGR S/N: 2247374)","End Of File (LGR S/N: 2247374)"
1,08/12/25 04:14:20 PM,23.64,22.178,,,
2,08/12/25 04:14:21 PM,23.98,22.178,,,
3,08/12/25 04:14:22 PM,23.98,22.178,,,
4,08/12/25 04:14:23 PM,23.64,22.178,,,
5,08/12/25 04:14:24 PM,23.64,22.178,,,
6,08/12/25 04:14:25 PM,23.98,22.178,,,
7,08/12/25 04:14:26 PM,23.98,22.178,,,
8,08/12/25 04:14:27 PM,23.98,22.202,,,
9,08/12/25 04:14:28 PM,23.64,22.202,,,
10,08/12/25 04:14:29 PM,23.98,22.202,,,
11,08/12/25 04:14:30 PM,23.98,22.226,,,
12,08/12/25 04:14:31 PM,23.64,22.226,,,
13,08/12/25 04:14:32 PM,23.64,22.226,,,
14,08/12/25 04:14:33 PM,23.98,22.226,,,
15,08/12/25 04:14:34 PM,23.98,22.250,,,
16,08/12/25 04:14:35 PM,23.98,22.250,,,
17,08/12/25 04:14:36 PM,23.98,22.250,,,
18,08/12/25 04:14:37 PM,23.98,22.274,,,
19,08/12/25 04:14:38 PM,23.98,22.274,,,
20,08/12/25 04:14:39 PM,23.98,22.274,,,
21,08/12/25 04:14:40 PM,23.98,22.274,,,
22,08/12/25 04:14:41 PM,23.64,22.298,,,
23,08/12/25 04:14:42 PM,23.98,22.298,,,
24,08/12/25 04:14:43 PM,23.98,22.298,,,
25,08/12/25 04:14:44 PM,23.98,22.298,,,
26,08/12/25 04:14:45 PM,23.98,22.321,,,
27,08/12/25 04:14:46 PM,23.98,22.321,,,
28,08/12/25 04:14:47 PM,23.98,22.321,,,
29,08/12/25 04:14:48 PM,23.98,22.321,,,
30,08/12/25 04:14:49 PM,23.98,22.345,,,
31,08/12/25 04:14:50 PM,23.98,22.345,,,
32,08/12/25 04:14:51 PM,23.98,22.345,,,
33,08/12/25 04:14:52 PM,23.98,22.345,,,
34,08/12/25 04:14:53 PM,23.98,22.369,,,
35,08/12/25 04:14:54 PM,23.98,22.369,,,
36,08/12/25 04:14:55 PM,23.98,22.369,,,
37,08/12/25 04:14:56 PM,23.98,22.369,,,
38,08/12/25 04:14:57 PM,23.98,22.369,,,
39,08/12/25 04:14:58 PM,23.98,22.369,,,
40,08/12/25 04:14:59 PM,23.98,22.369,,,
41,08/12/25 04:15:00 PM,23.98,22.369,,,
42,08/12/25 04:15:01 PM,23.98,22.393,,,
43,08/12/25 04:15:02 PM,23.98,22.369,,,
44,08/12/25 04:15:03 PM,23.98,22.393,,,
45,08/12/25 04:15:04 PM,23.98,22.393,,,
46,08/12/25 04:15:05 PM,23.98,22.393,,,
47,08/12/25 04:15:06 PM,23.98,22.393,,,
48,08/12/25 04:15:07 PM,23.98,22.393,,,
49,08/12/25 04:15:08 PM,23.98,22.393,,,
50,08/12/25 04:15:09 PM,23.98,22.393,,,
51,08/12/25 04:15:10 PM,23.98,22.417,,,
52,08/12/25 04:15:11 PM,23.98,22.417,,,
53,08/12/25 04:15:12 PM,23.98,22.417,,,
54,08/12/25 04:15:13 PM,23.98,22.417,,,
55,08/12/25 04:15:14 PM,23.98,22.417,,,
56,08/12/25 04:15:15 PM,23.98,22.417,,,
57,08/12/25 04:15:16 PM,23.98,22.417,,,
58,08/12/25 04:15:17 PM,23.98,22.417,,,
59,08/12/25 04:15:18 PM,23.98,22.417,,,
60,08/12/25 04:15:19 PM,23.98,22.417,,,
61,08/12/25 04:15:20 PM,23.98,22.417,,,
62,08/12/25 04:15:21 PM,23.98,22.417,,,
63,08/12/25 04:15:22 PM,23.98,22.417,,,
64,08/12/25 04:15:23 PM,23.98,22.417,,,
65,08/12/25 04:15:24 PM,23.98,22.417,,,
66,08/12/25 04:15:25 PM,23.98,22.417,,,
67,08/12/25 04:15:26 PM,23.98,22.417,,,
68,08/12/25 04:15:27 PM,23.98,22.417,,,
69,08/12/25 04:15:28 PM,23.98,22.417,,,
70,08/12/25 04:15:29 PM,23.98,22.417,,,
71,08/12/25 04:15:30 PM,23.98,22.417,,,
72,08/12/25 04:15:31 PM,23.98,22.417,,,
73,08/12/25 04:15:32 PM,23.98,22.417,,,
74,08/12/25 04:15:33 PM,23.98,22.417,,,
75,08/12/25 04:15:34 PM,23.98,22.417,,,
76,08/12/25 04:15:35 PM,23.98,22.417,,,
77,08/12/25 04:15:36 PM,23.98,22.417,,,
78,08/12/25 04:15:37 PM,23.98,22.417,,,
79,08/12/25 04:15:38 PM,23.98,22.417,,,
80,08/12/25 04:15:39 PM,23.98,22.417,,,
81,08/12/25 04:15:40 PM,23.98,22.417,,,
82,08/12/25 04:15:41 PM,23.98,22.417,,,
83,08/12/25 04:15:42 PM,23.98,22.417,,,
84,08/12/25 04:15:43 PM,23.98,22.441,,,
85,08/12/25 04:15:44 PM,23.98,22.417,,,
86,08/12/25 04:15:45 PM,23.98,22.441,,,
87,08/12/25 04:15:46 PM,23.98,22.417,,,
88,08/12/25 04:15:47 PM,23.98,22.441,,,
89,08/12/25 04:15:48 PM,23.98,22.417,,,
90,08/12/25 04:15:49 PM,23.64,22.441,,,
91,08/12/25 04:15:50 PM,23.98,22.441,,,
92,08/12/25 04:15:51 PM,23.98,22.441,,,
93,08/12/25 04:15:52 PM,23.98,22.441,,,
94,08/12/25 04:15:53 PM,23.98,22.441,,,
95,08/12/25 04:15:54 PM,23.98,22.441,,,
96,08/12/25 04:15:55 PM,23.98,22.441,,,
97,08/12/25 04:15:56 PM,23.98,22.441,,,
98,08/12/25 04:15:57 PM,23.98,22.441,,,
99,08/12/25 04:15:58 PM,23.64,22.441,,,
100,08/12/25 04:15:59 PM,23.98,22.441,,,
101,08/12/25 04:16:00 PM,23.98,22.441,,,
102,08/12/25 04:16:01 PM,23.98,22.441,,,
103,08/12/25 04:16:02 PM,23.98,22.441,,,
104,08/12/25 04:16:03 PM,23.64,22.441,,,
105,08/12/25 04:16:04 PM,23.64,22.441,,,
106,08/12/25 04:16:05 PM,23.98,22.441,,,
107,08/12/25 04:16:06 PM,23.98,22.441,,,
108,08/12/25 04:16:07 PM,23.98,22.441,,,
109,08/12/25 04:16:08 PM,23.64,22.441,,,
110,08/12/25 04:16:09 PM,23.64,22.441,,,
111,08/12/25 04:16:10 PM,23.64,22.441,,,
112,08/12/25 04:16:11 PM,23.64,22.441,,,
113,08/12/25 04:16:12 PM,23.64,22.441,,,
114,08/12/25 04:16:13 PM,23.98,22.441,,,
115,08/12/25 04:16:14 PM,23.64,22.441,,,
116,08/12/25 04:16:15 PM,23.64,22.441,,,
117,08/12/25 04:16:16 PM,23.64,22.441,,,
118,08/12/25 04:16:17 PM,23.98,22.441,,,
119,08/12/25 04:16:18 PM,23.98,22.465,,,
120,08/12/25 04:16:19 PM,23.98,22.465,,,
121,08/12/25 04:16:20 PM,23.64,22.465,,,
122,08/12/25 04:16:21 PM,23.98,22.465,,,
123,08/12/25 04:16:22 PM,23.64,22.465,,,
124,08/12/25 04:16:23 PM,23.98,22.465,,,
125,08/12/25 04:16:24 PM,23.64,22.465,,,
126,08/12/25 04:16:25 PM,23.98,22.465,,,
127,08/12/25 04:16:26 PM,23.64,22.465,,,
128,08/12/25 04:16:27 PM,23.64,22.465,,,
129,08/12/25 04:16:28 PM,23.64,22.465,,,
130,08/12/25 04:16:29 PM,23.64,22.465,,,
131,08/12/25 04:16:30 PM,23.64,22.465,,,
132,08/12/25 04:16:31 PM,23.64,22.465,,,
133,08/12/25 04:16:32 PM,23.64,22.465,,,
134,08/12/25 04:16:33 PM,23.64,22.465,,,
135,08/12/25 04:16:34 PM,23.64,22.465,,,
136,08/12/25 04:16:35 PM,23.64,22.489,,,
137,08/12/25 04:16:36 PM,23.64,22.465,,,
138,08/12/25 04:16:37 PM,23.64,22.465,,,
139,08/12/25 04:16:38 PM,23.64,22.465,,,
140,08/12/25 04:16:39 PM,23.98,22.489,,,
141,08/12/25 04:16:40 PM,23.98,22.489,,,
142,08/12/25 04:16:41 PM,23.98,22.489,,,
143,08/12/25 04:16:42 PM,23.98,22.489,,,
144,08/12/25 04:16:43 PM,23.98,22.489,,,
145,08/12/25 04:16:44 PM,23.98,22.489,,,
146,08/12/25 04:16:45 PM,23.64,22.489,,,
147,08/12/25 04:16:46 PM,23.64,22.489,,,
148,08/12/25 04:16:47 PM,23.98,22.489,,,
149,08/12/25 04:16:48 PM,23.64,22.489,,,
150,08/12/25 04:16:49 PM,23.98,22.489,,,
151,08/12/25 04:16:50 PM,23.98,22.489,,,
152,08/12/25 04:16:51 PM,23.64,22.489,,,
153,08/12/25 04:16:52 PM,23.98,22.489,,,
154,08/12/25 04:16:53 PM,23.98,22.489,,,
155,08/12/25 04:16:54 PM,23.98,22.489,,,
156,08/12/25 04:16:55 PM,23.64,22.489,,,
157,08/12/25 04:16:56 PM,23.64,22.489,,,
158,08/12/25 04:16:57 PM,23.98,22.489,,,
159,08/12/25 04:16:58 PM,23.64,22.489,,,
160,08/12/25 04:16:59 PM,23.64,22.489,,,
161,08/12/25 04:17:00 PM,23.64,22.489,,,
162,08/12/25 04:17:01 PM,23.98,22.513,,,
163,08/12/25 04:17:02 PM,23.98,22.513,,,
164,08/12/25 04:17:03 PM,23.64,22.489,,,
165,08/12/25 04:17:04 PM,23.98,22.489,,,
166,08/12/25 04:17:05 PM,23.64,22.489,,,
167,08/12/25 04:17:06 PM,23.98,22.489,,,
168,08/12/25 04:17:07 PM,23.98,22.489,,,
169,08/12/25 04:17:08 PM,23.98,22.489,,,
170,08/12/25 04:17:09 PM,23.98,22.513,,,
171,08/12/25 04:17:10 PM,23.98,22.513,,,
172,08/12/25 04:17:11 PM,23.98,22.513,,,
173,08/12/25 04:17:12 PM,23.98,22.513,,,
174,08/12/25 04:17:13 PM,23.98,22.513,,,
175,08/12/25 04:17:14 PM,23.98,22.513,,,
176,08/12/25 04:17:15 PM,23.98,22.513,,,
177,08/12/25 04:17:16 PM,23.98,22.513,,,
178,08/12/25 04:17:17 PM,23.98,22.513,,,
179,08/12/25 04:17:18 PM,23.98,22.513,,,
180,08/12/25 04:17:19 PM,23.98,22.513,,,
181,08/12/25 04:17:20 PM,23.98,22.513,,,
182,08/12/25 04:17:21 PM,23.98,22.513,,,
183,08/12/25 04:17:22 PM,23.98,22.513,,,
184,08/12/25 04:17:23 PM,23.98,22.513,,,
185,08/12/25 04:17:24 PM,23.98,22.513,,,
186,08/12/25 04:17:25 PM,23.98,22.537,,,
187,08/12/25 04:17:26 PM,23.98,22.513,,,
188,08/12/25 04:17:27 PM,23.98,22.513,,,
189,08/12/25 04:17:28 PM,23.98,22.513,,,
190,08/12/25 04:17:29 PM,23.98,22.537,,,
191,08/12/25 04:17:30 PM,23.64,22.537,,,
192,08/12/25 04:17:31 PM,23.98,22.537,,,
193,08/12/25 04:17:32 PM,23.98,22.537,,,
194,08/12/25 04:17:33 PM,23.98,22.537,,,
195,08/12/25 04:17:34 PM,23.98,22.513,,,
196,08/12/25 04:17:35 PM,23.98,22.537,,,
197,08/12/25 04:17:36 PM,23.98,22.537,,,
198,08/12/25 04:17:37 PM,23.98,22.537,,,
199,08/12/25 04:17:38 PM,23.98,22.537,,,
200,08/12/25 04:17:39 PM,23.98,22.537,,,
201,08/12/25 04:17:40 PM,23.98,22.537,,,
202,08/12/25 04:17:41 PM,23.98,22.537,,,
203,08/12/25 04:17:42 PM,23.98,22.537,,,
204,08/12/25 04:17:43 PM,23.98,22.537,,,
205,08/12/25 04:17:44 PM,23.98,22.537,,,
206,08/12/25 04:17:45 PM,23.98,22.537,,,
207,08/12/25 04:17:46 PM,23.98,22.537,,,
208,08/12/25 04:17:47 PM,23.98,22.537,,,
209,08/12/25 04:17:48 PM,23.98,22.537,,,
210,08/12/25 04:17:49 PM,23.98,22.561,,,
211,08/12/25 04:17:50 PM,23.98,22.537,,,
212,08/12/25 04:17:51 PM,23.98,22.537,,,
213,08/12/25 04:17:52 PM,23.98,22.537,,,
214,08/12/25 04:17:53 PM,23.98,22.537,,,
215,08/12/25 04:17:54 PM,23.98,22.561,,,
216,08/12/25 04:17:55 PM,23.98,22.561,,,
217,08/12/25 04:17:56 PM,23.98,22.561,,,
218,08/12/25 04:17:57 PM,23.98,22.561,,,
219,08/12/25 04:17:58 PM,23.98,22.561,,,
220,08/12/25 04:17:59 PM,23.98,22.561,,,
221,08/12/25 04:18:00 PM,23.98,22.561,,,
222,08/12/25 04:18:01 PM,23.98,22.561,,,
223,08/12/25 04:18:02 PM,23.98,22.561,,,
224,08/12/25 04:18:03 PM,23.98,22.561,,,
225,08/12/25 04:18:04 PM,23.98,22.561,,,
226,08/12/25 04:18:05 PM,23.98,22.561,,,
227,08/12/25 04:18:06 PM,23.98,22.561,,,
228,08/12/25 04:18:07 PM,23.98,22.561,,,
229,08/12/25 04:18:08 PM,23.98,22.561,,,
230,08/12/25 04:18:09 PM,23.98,22.561,,,
231,08/12/25 04:18:10 PM,23.98,22.561,,,
232,08/12/25 04:18:11 PM,23.98,22.561,,,
233,08/12/25 04:18:12 PM,23.98,22.561,,,
234,08/12/25 04:18:13 PM,23.98,22.561,,,
235,08/12/25 04:18:14 PM,23.98,22.561,,,
236,08/12/25 04:18:15 PM,23.98,22.561,,,
237,08/12/25 04:18:16 PM,23.98,22.561,,,
238,08/12/25 04:18:17 PM,23.98,22.561,,,
239,08/12/25 04:18:18 PM,23.98,22.561,,,
240,08/12/25 04:18:19 PM,23.98,22.585,,,
241,08/12/25 04:18:20 PM,23.98,22.585,,,
242,08/12/25 04:18:21 PM,23.98,22.585,,,
243,08/12/25 04:18:22 PM,23.98,22.585,,,
244,08/12/25 04:18:23 PM,23.98,22.585,,,
245,08/12/25 04:18:24 PM,23.98,22.585,,,
246,08/12/25 04:18:25 PM,23.98,22.585,,,
247,08/12/25 04:18:26 PM,23.98,22.585,,,
248,08/12/25 04:18:27 PM,23.98,22.585,,,
249,08/12/25 04:18:28 PM,23.98,22.561,,,
250,08/12/25 04:18:29 PM,23.98,22.585,,,
251,08/12/25 04:18:30 PM,23.98,22.585,,,
252,08/12/25 04:18:31 PM,23.98,22.585,,,
253,08/12/25 04:18:32 PM,23.98,22.585,,,
254,08/12/25 04:18:33 PM,23.98,22.585,,,
255,08/12/25 04:18:34 PM,23.98,22.585,,,
256,08/12/25 04:18:35 PM,23.98,22.585,,,
257,08/12/25 04:18:36 PM,23.98,22.585,,,
258,08/12/25 04:18:37 PM,23.98,22.585,,,
259,08/12/25 04:18:38 PM,23.98,22.585,,,
260,08/12/25 04:18:39 PM,23.98,22.585,,,
261,08/12/25 04:18:40 PM,23.98,22.585,,,
262,08/12/25 04:18:41 PM,23.98,22.609,,,
263,08/12/25 04:18:42 PM,23.98,22.609,,,
264,08/12/25 04:18:43 PM,23.98,22.585,,,
265,08/12/25 04:18:44 PM,23.98,22.609,,,
266,08/12/25 04:18:45 PM,23.98,22.585,,,
267,08/12/25 04:18:46 PM,23.98,22.609,,,
268,08/12/25 04:18:47 PM,23.98,22.609,,,
269,08/12/25 04:18:48 PM,23.98,22.609,,,
270,08/12/25 04:18:49 PM,23.98,22.609,,,
271,08/12/25 04:18:50 PM,23.98,22.609,,,
272,08/12/25 04:18:51 PM,23.98,22.609,,,
273,08/12/25 04:18:52 PM,23.98,22.609,,,
274,08/12/25 04:18:53 PM,23.98,22.609,,,
275,08/12/25 04:18:54 PM,23.98,22.609,,,
276,08/12/25 04:18:55 PM,23.98,22.609,,,
277,08/12/25 04:18:56 PM,23.98,22.609,,,
278,08/12/25 04:18:57 PM,23.98,22.609,,,
279,08/12/25 04:18:58 PM,23.98,22.609,,,
280,08/12/25 04:18:59 PM,23.98,22.609,,,
281,08/12/25 04:19:00 PM,23.98,22.609,,,
282,08/12/25 04:19:01 PM,23.98,22.609,,,
283,08/12/25 04:19:02 PM,23.98,22.609,,,
284,08/12/25 04:19:03 PM,23.98,22.609,,,
285,08/12/25 04:19:04 PM,23.98,22.633,,,
286,08/12/25 04:19:05 PM,23.98,22.609,,,
287,08/12/25 04:19:06 PM,23.98,22.609,,,
288,08/12/25 04:19:07 PM,23.98,22.609,,,
289,08/12/25 04:19:08 PM,23.98,22.633,,,
290,08/12/25 04:19:09 PM,23.98,22.633,,,
291,08/12/25 04:19:10 PM,23.98,22.609,,,
292,08/12/25 04:19:11 PM,23.98,22.633,,,
293,08/12/25 04:19:12 PM,23.98,22.609,,,
294,08/12/25 04:19:13 PM,23.98,22.633,,,
295,08/12/25 04:19:14 PM,23.98,22.633,,,
296,08/12/25 04:19:15 PM,23.98,22.633,,,
297,08/12/25 04:19:16 PM,23.98,22.633,,,
298,08/12/25 04:19:17 PM,23.98,22.633,,,
299,08/12/25 04:19:18 PM,23.98,22.633,,,
300,08/12/25 04:19:19 PM,23.98,22.633,,,
301,08/12/25 04:19:20 PM,23.98,22.633,,,
302,08/12/25 04:19:21 PM,23.98,22.633,,,
303,08/12/25 04:19:22 PM,23.98,22.633,,,
304,08/12/25 04:19:23 PM,23.98,22.633,,,
305,08/12/25 04:19:24 PM,23.98,22.633,,,
306,08/12/25 04:19:25 PM,23.98,22.633,,,
307,08/12/25 04:19:26 PM,23.98,22.633,,,
308,08/12/25 04:19:27 PM,23.98,22.633,,,
309,08/12/25 04:19:28 PM,23.98,22.633,,,
310,08/12/25 04:19:29 PM,23.98,22.633,,,
311,08/12/25 04:19:30 PM,23.98,22.633,,,
312,08/12/25 04:19:31 PM,23.98,22.633,,,
313,08/12/25 04:19:32 PM,23.98,22.633,,,
314,08/12/25 04:19:33 PM,23.98,22.633,,,
315,08/12/25 04:19:34 PM,23.98,22.633,,,
316,08/12/25 04:19:35 PM,23.98,22.657,,,
317,08/12/25 04:19:36 PM,23.98,22.633,,,
318,08/12/25 04:19:37 PM,23.98,22.657,,,
319,08/12/25 04:19:38 PM,23.98,22.633,,,
320,08/12/25 04:19:39 PM,23.98,22.657,,,
321,08/12/25 04:19:40 PM,23.98,22.633,,,
