"Plot Title: flam.right"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: k)","Temp, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: temp)","Host Connected (LGR S/N: 1253388)","Stopped (LGR S/N: 1253388)","End Of File (LGR S/N: 1253388)"
1,08/15/25 06:40:43 PM,19.93,19.817,,,
2,08/15/25 06:40:44 PM,19.93,19.817,,,
3,08/15/25 06:40:45 PM,19.93,19.817,,,
4,08/15/25 06:40:46 PM,19.60,19.817,,,
5,08/15/25 06:40:47 PM,19.60,19.817,,,
6,08/15/25 06:40:48 PM,19.60,19.817,,,
7,08/15/25 06:40:49 PM,19.60,19.817,,,
8,08/15/25 06:40:50 PM,19.60,19.817,,,
9,08/15/25 06:40:51 PM,19.93,19.841,,,
10,08/15/25 06:40:52 PM,19.60,19.841,,,
11,08/15/25 06:40:53 PM,19.60,19.841,,,
12,08/15/25 06:40:54 PM,19.60,19.841,,,
13,08/15/25 06:40:55 PM,19.60,19.841,,,
14,08/15/25 06:40:56 PM,19.93,19.865,,,
15,08/15/25 06:40:57 PM,19.60,19.841,,,
16,08/15/25 06:40:58 PM,19.93,19.865,,,
17,08/15/25 06:40:59 PM,19.93,19.865,,,
18,08/15/25 06:41:00 PM,19.93,19.865,,,
19,08/15/25 06:41:01 PM,19.93,19.865,,,
20,08/15/25 06:41:02 PM,19.93,19.865,,,
21,08/15/25 06:41:03 PM,19.60,19.865,,,
22,08/15/25 06:41:04 PM,19.60,19.865,,,
23,08/15/25 06:41:05 PM,19.60,19.865,,,
24,08/15/25 06:41:06 PM,19.93,19.865,,,
25,08/15/25 06:41:07 PM,19.60,19.865,,,
26,08/15/25 06:41:08 PM,19.60,19.888,,,
27,08/15/25 06:41:09 PM,19.60,19.865,,,
28,08/15/25 06:41:10 PM,19.93,19.888,,,
29,08/15/25 06:41:11 PM,19.60,19.865,,,
30,08/15/25 06:41:12 PM,19.60,19.865,,,
31,08/15/25 06:41:13 PM,19.60,19.865,,,
32,08/15/25 06:41:14 PM,19.60,19.865,,,
33,08/15/25 06:41:15 PM,19.60,19.888,,,
34,08/15/25 06:41:16 PM,19.93,19.865,,,
35,08/15/25 06:41:17 PM,19.93,19.888,,,
36,08/15/25 06:41:18 PM,19.60,19.888,,,
37,08/15/25 06:41:19 PM,19.60,19.888,,,
38,08/15/25 06:41:20 PM,19.93,19.865,,,
39,08/15/25 06:41:21 PM,19.93,19.888,,,
40,08/15/25 06:41:22 PM,19.93,19.888,,,
41,08/15/25 06:41:23 PM,19.60,19.865,,,
42,08/15/25 06:41:24 PM,19.93,19.865,,,
43,08/15/25 06:41:25 PM,19.60,19.865,,,
44,08/15/25 06:41:26 PM,19.60,19.865,,,
45,08/15/25 06:41:27 PM,19.93,19.888,,,
46,08/15/25 06:41:28 PM,19.60,19.865,,,
47,08/15/25 06:41:29 PM,19.60,19.865,,,
48,08/15/25 06:41:30 PM,19.60,19.865,,,
49,08/15/25 06:41:31 PM,19.60,19.865,,,
50,08/15/25 06:41:32 PM,19.60,19.865,,,
51,08/15/25 06:41:33 PM,19.60,19.865,,,
52,08/15/25 06:41:34 PM,19.60,19.865,,,
53,08/15/25 06:41:35 PM,19.60,19.865,,,
54,08/15/25 06:41:36 PM,19.60,19.865,,,
55,08/15/25 06:41:37 PM,19.60,19.865,,,
56,08/15/25 06:41:38 PM,19.60,19.865,,,
57,08/15/25 06:41:39 PM,19.60,19.865,,,
58,08/15/25 06:41:40 PM,19.60,19.865,,,
59,08/15/25 06:41:41 PM,19.60,19.865,,,
60,08/15/25 06:41:42 PM,19.60,19.865,,,
61,08/15/25 06:41:43 PM,19.60,19.865,,,
62,08/15/25 06:41:44 PM,19.60,19.865,,,
63,08/15/25 06:41:45 PM,19.60,19.865,,,
64,08/15/25 06:41:46 PM,19.60,19.865,,,
65,08/15/25 06:41:47 PM,19.60,19.865,,,
66,08/15/25 06:41:48 PM,19.60,19.865,,,
67,08/15/25 06:41:49 PM,19.60,19.865,,,
68,08/15/25 06:41:50 PM,19.60,19.865,,,
69,08/15/25 06:41:51 PM,19.60,19.865,,,
70,08/15/25 06:41:52 PM,19.60,19.865,,,
71,08/15/25 06:41:53 PM,19.60,19.865,,,
72,08/15/25 06:41:54 PM,19.60,19.865,,,
73,08/15/25 06:41:55 PM,19.93,19.865,,,
74,08/15/25 06:41:56 PM,19.93,19.865,,,
75,08/15/25 06:41:57 PM,19.60,19.865,,,
76,08/15/25 06:41:58 PM,19.60,19.865,,,
77,08/15/25 06:41:59 PM,19.60,19.865,,,
78,08/15/25 06:42:00 PM,19.60,19.865,,,
79,08/15/25 06:42:01 PM,19.60,19.865,,,
80,08/15/25 06:42:02 PM,19.60,19.865,,,
81,08/15/25 06:42:03 PM,19.60,19.865,,,
82,08/15/25 06:42:04 PM,19.60,19.865,,,
83,08/15/25 06:42:05 PM,19.60,19.865,,,
84,08/15/25 06:42:06 PM,19.60,19.865,,,
85,08/15/25 06:42:07 PM,19.60,19.841,,,
86,08/15/25 06:42:08 PM,19.60,19.865,,,
87,08/15/25 06:42:09 PM,19.60,19.865,,,
88,08/15/25 06:42:10 PM,19.60,19.865,,,
89,08/15/25 06:42:11 PM,19.60,19.841,,,
90,08/15/25 06:42:12 PM,19.60,19.865,,,
91,08/15/25 06:42:13 PM,19.60,19.841,,,
92,08/15/25 06:42:14 PM,19.60,19.841,,,
93,08/15/25 06:42:15 PM,19.60,19.841,,,
94,08/15/25 06:42:16 PM,19.60,19.865,,,
95,08/15/25 06:42:17 PM,19.60,19.841,,,
96,08/15/25 06:42:18 PM,19.60,19.841,,,
97,08/15/25 06:42:19 PM,19.60,19.841,,,
98,08/15/25 06:42:20 PM,19.60,19.841,,,
99,08/15/25 06:42:21 PM,19.93,19.841,,,
100,08/15/25 06:42:22 PM,19.60,19.841,,,
101,08/15/25 06:42:23 PM,19.60,19.841,,,
102,08/15/25 06:42:24 PM,19.60,19.841,,,
103,08/15/25 06:42:25 PM,19.60,19.841,,,
104,08/15/25 06:42:26 PM,19.60,19.841,,,
105,08/15/25 06:42:27 PM,19.60,19.841,,,
106,08/15/25 06:42:28 PM,19.60,19.841,,,
107,08/15/25 06:42:29 PM,19.60,19.841,,,
108,08/15/25 06:42:30 PM,19.60,19.841,,,
109,08/15/25 06:42:31 PM,19.60,19.841,,,
110,08/15/25 06:42:32 PM,19.60,19.841,,,
111,08/15/25 06:42:33 PM,19.60,19.841,,,
112,08/15/25 06:42:34 PM,19.60,19.841,,,
113,08/15/25 06:42:35 PM,19.60,19.841,,,
114,08/15/25 06:42:36 PM,19.60,19.841,,,
115,08/15/25 06:42:37 PM,19.60,19.841,,,
116,08/15/25 06:42:38 PM,19.60,19.841,,,
117,08/15/25 06:42:39 PM,19.60,19.841,,,
118,08/15/25 06:42:40 PM,19.60,19.841,,,
119,08/15/25 06:42:41 PM,19.60,19.841,,,
120,08/15/25 06:42:42 PM,19.26,19.841,,,
