"Plot Title: flam.left"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1282995, SEN S/N: 1282995, LBL: k)","Temp, °C (LGR S/N: 1282995, SEN S/N: 1282995, LBL: temp)","Host Connected (LGR S/N: 1282995)","Stopped (LGR S/N: 1282995)","End Of File (LGR S/N: 1282995)"
1,08/27/25 05:21:36 PM,23.64,21.413,,,
2,08/27/25 05:21:37 PM,23.30,21.437,,,
3,08/27/25 05:21:38 PM,23.64,21.437,,,
4,08/27/25 05:21:39 PM,23.30,21.437,,,
5,08/27/25 05:21:40 PM,23.30,21.437,,,
6,08/27/25 05:21:41 PM,22.63,21.461,,,
7,08/27/25 05:21:42 PM,24.31,21.437,,,
8,08/27/25 05:21:43 PM,22.97,21.461,,,
9,08/27/25 05:21:44 PM,22.97,21.461,,,
10,08/27/25 05:21:45 PM,22.97,21.461,,,
11,08/27/25 05:21:46 PM,23.30,21.461,,,
12,08/27/25 05:21:47 PM,23.64,21.485,,,
13,08/27/25 05:21:48 PM,23.30,21.485,,,
14,08/27/25 05:21:49 PM,23.30,21.485,,,
15,08/27/25 05:21:50 PM,23.64,21.485,,,
16,08/27/25 05:21:51 PM,23.64,21.485,,,
17,08/27/25 05:21:52 PM,23.64,21.509,,,
18,08/27/25 05:21:53 PM,23.64,21.509,,,
19,08/27/25 05:21:54 PM,23.64,21.533,,,
20,08/27/25 05:21:55 PM,23.30,21.509,,,
21,08/27/25 05:21:56 PM,23.64,21.533,,,
22,08/27/25 05:21:57 PM,23.64,21.533,,,
23,08/27/25 05:21:58 PM,23.64,21.533,,,
24,08/27/25 05:21:59 PM,23.64,21.533,,,
25,08/27/25 05:22:00 PM,23.64,21.557,,,
26,08/27/25 05:22:01 PM,23.64,21.557,,,
27,08/27/25 05:22:02 PM,23.64,21.557,,,
28,08/27/25 05:22:03 PM,23.64,21.557,,,
29,08/27/25 05:22:04 PM,23.64,21.557,,,
30,08/27/25 05:22:05 PM,23.64,21.581,,,
31,08/27/25 05:22:06 PM,23.64,21.581,,,
32,08/27/25 05:22:07 PM,23.64,21.581,,,
33,08/27/25 05:22:08 PM,23.64,21.581,,,
34,08/27/25 05:22:09 PM,23.64,21.581,,,
35,08/27/25 05:22:10 PM,23.64,21.581,,,
36,08/27/25 05:22:11 PM,23.30,21.581,,,
37,08/27/25 05:22:12 PM,23.64,21.581,,,
38,08/27/25 05:22:13 PM,23.64,21.581,,,
39,08/27/25 05:22:14 PM,23.30,21.581,,,
40,08/27/25 05:22:15 PM,23.64,21.604,,,
41,08/27/25 05:22:16 PM,23.30,21.604,,,
