sample_id,fresh_mass,dry_mass,wp
DCK01,1.7443,1.1202,7
DCK02,2.8319,0.9174,0.31
DCK03,1.9469,1.0257,4.24
DCK04,1.1935,0.5561,0.4
DCK05,3.0744,1.4018,1.97
DCK06,1.153,0.5904,0.95
DCK07,1.1395,0.9459,7
DCK08,1.0155,0.5531,5.23
DCK09,1.7822,0.7758,0.41
DCK10,1.5926,0.7846,0.39
DCK11,1.538,0.772,3.89
DCK12,2.2917,1.0998,0.93
DCK13,1.9989,0.9935,0
DCK14,0.6724,0.3062,0.29
DCK15,1.2443,0.6667,2.39
DCK16,1.9547,0.9803,3.18
DCK17,4.3598,2.3749,1.25
DCK18,6.1976,3.1318,0.23
DCK19,2.9056,1.5157,1.5
DCK20,3.9905,1.9983,0.46
DCK21,2.0437,0.9747,0.31
DCK22,2.6674,1.475,1.09
DCK23,6.5222,3.2217,0.91
DCK24,2.4639,1.2474,0.42
DCK25,8.052,3.8958,0.31
DCK26,2.224,1.1987,0.37
DCK27,3.3877,1.6677,0.12
DCK28,2.351,1.2037,0.6
DCK29,2.8815,1.5206,0.19
DCK30,1.7317,0.9102,0.1
DCK31,3.7058,1.741,0.62
DCK32,3.08,1.5907,0.21
DCK33a,1.0013,0.4521,0
DCK33b,0.5168,0.2437,0
DCK34a,1.1008,0.4707,0
DCK34b,4.2786,1.9628,0
DCK35a,2.2221,0.9816,0
DCK35b,0.8459,0.3904,0
DCK36a,1.4925,0.6604,0
DCK36b,0.9256,0.4358,0
DCK37a,0.6964,0.3283,0
DCK37b,1.1015,0.5114,0
DCK38a,0.752,0.3738,0
DCK38b,1.1084,0.49833,0
DCK39a,1.0085,0.5416,0
DCK39b,0.698,0.3782,0
DCK40a,0.5086,0.2557,0
DCK40b,1.79,0.9228,0
DCK41a,1.21335,0.5281,0
DCK41b,,,
DCK42a,0.7085,0.3237,0
DCK42b,0.5132,0.2336,0
DCK43a,0.5511,0.2396,0
DCK43b,1.8509,0.7631,0
DCK44a,,,
DCK44b,0.9716,0.4405,0
DCK45a,0.7553,0.3266,0
DCK45b,0.6157,0.2763,0
DCK46a,0.635,0.2817,0
DCK46b,1.247,0.5485,0
DCK47,7.2075,4.1345,1.66
DCK48,3.1616,1.8269,1.54
DCK49,4.0841,2.538,1.48
DCK50,5.1143,2.6367,1.39
DCK51,1.2349,0.7116,1.69
DCK52,4.7198,2.2685,0.95
DCK53,3.8226,2.2141,1.72
DCK54,4.2033,2.635,4.49
DCK55,4.1013,2.2917,2.01
DCK56,2.3068,1.4524,4.36
DCK57,3.8762,2.288,3.41
DCK58,1.999,1.2361,4.43
DCK59,2.1435,1.3634,4.13
DCK60,2.752,1.7075,3.78
DCK61,1.0082,0.5192,3.44
DCK62,0.7253,0.6101,7
DCK63,1.4127,0.865,5.7
DCK64,0.5608,0.3157,4.42
DCK65,1.0105,0.5767,4.58
DCK66,3.9245,2.2979,7
DCK67,0.5912,0.4105,7
DCK68,1.3838,1.0234,7
DCK69,0.6915,0.3319,0.2
DCK70,0.7314,0.6555,7
DCK71,0.5226,0.4529,7
DCK72,1.6136,1.4557,7
DCK73,0.4851,0.3866,7
DCK74,0.4798,0.26,1.79
DCK75,0.4106,0.336,7
DCK76,0.5803,0.4732,7
DCK79,2.8255,1.8258,4.48
DCK80,4.1818,2.7028,4.82
DCK81,1.3787,0.9889,7.5
DCk85,1.9807,1.5055,7.5
DCK86,1.8913,1.4124,7.5
DCK87,1.5991,1.1776,7.5
DCK88,3.092,2.5087,7.5
DCK91,0.9459,0.7096,7.5
DCK98,2.7773,2.13398,7.5
UV01,0.6985,0.3064,0.45
UV02,1.354,0.6062,0.88
UV03,0.6592,0.3103,0.15
UV04,0.708,0.3465,3.5
UV05,0.5928,0.252,0.31
UV06,0.795,0.3136,0.29
UV07,1.4645,0.6365,2.5
UV08,0.5182,0.2197,0.46
