sample_id,spcode,species
DCK01,PRGL2,Prosopis glandulosa
DCK02,PRGL2,Prosopis glandulosa
DCK03,PRGL2,Prosopis glandulosa
DCK04,PRGL2,Prosopis glandulosa
DCK05,PRGL2,Prosopis glandulosa
DCK06,PRGL2,Prosopis glandulosa
DCK07,PRGL2,Prosopis glandulosa
DCK08,PRGL2,Prosopis glandulosa
DCK09,PRGL2,Prosopis glandulosa
DCK10,PRGL2,Prosopis glandulosa
DCK11,PRGL2,Prosopis glandulosa
DCK12,PRGL2,Prosopis glandulosa
DCK13,PRGL2,Prosopis glandulosa
DCK14,PRGL2,Prosopis glandulosa
DCK15,PRGL2,Prosopis glandulosa
DCK16,PRGL2,Prosopis glandulosa
DCK17,JUPI,Juniperus pinchotii
DCK18,JUPI,Juniperus pinchotii
DCK19,JUPI,Juniperus pinchotii
DCK20,JUPI,Juniperus pinchotii
DCK21,JUPI,Juniperus pinchotii
DCK22,JUPI,Juniperus pinchotii
DCK23,JUPI,Juniperus pinchotii
DCK24,JUPI,Juniperus pinchotii
DCK25,JUPI,Juniperus pinchotii
DCK26,JUPI,Juniperus pinchotii
DCK27,JUPI,Juniperus pinchotii
DCK28,JUPI,Juniperus pinchotii
DCK29,JUPI,Juniperus pinchotii
DCK30,JUPI,Juniperus pinchotii
DCK31,JUPI,Juniperus pinchotii
DCK32,JUPI,Juniperus pinchotii
DCK33a,JUPI,Juniperus pinchotii
DCK33b,JUPI,Juniperus pinchotii
DCK34a,JUPI,Juniperus pinchotii
DCK34b,JUPI,Juniperus pinchotii
DCK35a,JUPI,Juniperus pinchotii
DCK35b,JUPI,Juniperus pinchotii
DCK36a,JUPI,Juniperus pinchotii
DCK36b,JUPI,Juniperus pinchotii
DCK37a,JUPI,Juniperus pinchotii
DCK37b,JUPI,Juniperus pinchotii
DCK38a,JUPI,Juniperus pinchotii
DCK38b,JUPI,Juniperus pinchotii
DCK39a,JUPI,Juniperus pinchotii
DCK39b,JUPI,Juniperus pinchotii
DCK40a,JUPI,Juniperus pinchotii
DCK40b,JUPI,Juniperus pinchotii
DCK41a,PRGL2,Prosopis glandulosa
DCK41b,PRGL2,Prosopis glandulosa
DCK42a,PRGL2,Prosopis glandulosa
DCK42b,PRGL2,Prosopis glandulosa
DCK43a,PRGL2,Prosopis glandulosa
DCK43b,PRGL2,Prosopis glandulosa
DCK44a,PRGL2,Prosopis glandulosa
DCK44b,PRGL2,Prosopis glandulosa
DCK45a,PRGL2,Prosopis glandulosa
DCK45b,PRGL2,Prosopis glandulosa
DCK46a,PRGL2,Prosopis glandulosa
DCK46b,PRGL2,Prosopis glandulosa
