sample_id,fresh_mass,dry_mass,wp,hours,combination,species_combination
DCK19,1.83,1.2,5.28,48,JJ-48-48,Juniperus-Juniperus
DCK12,1.77,1.77,4.63,48,JJ-48-48,Juniperus-Juniperus
DCK05,2.47,1.69,6.04,48,JJ-48-48,Juniperus-Juniperus
DCK04,2.12,1.41,5.19,48,JJ-48-48,Juniperus-Juniperus
DCK11,2.82,1.78,5.32,48,JJ-48-48,Juniperus-Juniperus
DCK01,1.31,0.85,4.78,48,JJ-48-48,Juniperus-Juniperus
DCK06,3.66,2.61,7.27,48,JJ-48-48,Juniperus-Juniperus
DCK13,3.01,2.04,5.83,48,JJ-48-48,Juniperus-Juniperus
DCK02,2.82,1.75,4.6,48,JJ-48-48,Juniperus-Juniperus
DCK28,3.75,2.51,4.77,48,JJ-48-48,Juniperus-Juniperus
DCK03,2.1,1.31,4.55,48,JJ-48-48,Juniperus-Juniperus
DCK26,1.06,0.76,7.09,48,JJ-48-48,Juniperus-Juniperus
DCK17,2.81,1.78,4.02,48,JJ-48-48,Juniperus-Juniperus
DCK18,2.28,1.56,5.36,48,JJ-48-48,Juniperus-Juniperus
DCK24,2.32,1.51,4.6,48,JJ-48-48,Juniperus-Juniperus
DCK31,1.1,0.72,4.88,48,JJ-48-48,Juniperus-Juniperus
DCK29,2.89,2.02,6.11,72,JJ-72-72,Juniperus-Juniperus
DCK20,2.78,1.73,4.6,72,JJ-72-72,Juniperus-Juniperus
DCK15,2.21,1.5,7.01,72,JJ-72-72,Juniperus-Juniperus
DCK25,2.94,1.98,5.64,72,JJ-72-72,Juniperus-Juniperus
DCK10,3.95,2.65,6.23,72,JJ-72-72,Juniperus-Juniperus
DCK32,1.76,1.36,9.22,72,JJ-72-72,Juniperus-Juniperus
DCK22,1.75,1.17,5.72,72,JJ-72-72,Juniperus-Juniperus
DCK14,2.19,1.4,5.62,72,JJ-72-72,Juniperus-Juniperus
DCK09,2.31,1.62,6.93,72,JJ-72-72,Juniperus-Juniperus
DCK27,1.41,1.01,8.05,72,JJ-72-72,Juniperus-Juniperus
DCK16,2.19,1.47,5.59,72,JJ-72-72,Juniperus-Juniperus
DCK21,3.11,2.18,5.93,72,JJ-72-72,Juniperus-Juniperus
DCK07,1.78,1.22,6.5,72,JJ-72-72,Juniperus-Juniperus
DCK08,2.26,1.56,6.46,72,JJ-72-72,Juniperus-Juniperus
DCK33,1.71,1.05,3.21,14,JJ-14-14,Juniperus-Juniperus
DCK34,3.17,1.88,3.13,14,JJ-14-14,Juniperus-Juniperus
DCK35,2.86,1.66,2.71,14,JJ-14-14,Juniperus-Juniperus
DCK36,3.25,1.91,3.17,14,JJ-14-14,Juniperus-Juniperus
DCK37,2.65,1.46,2.61,14,JJ-14-14,Juniperus-Juniperus
DCK38,2.7,1.59,3.74,14,JJ-14-14,Juniperus-Juniperus
DCK39,1.31,0.84,2.61,14,JJ-14-14,Juniperus-Juniperus
DCK40,3.95,2.35,3.67,14,JJ-14-14,Juniperus-Juniperus
DCK41,1.87,1.1,2.34,14,JJ-14-14,Juniperus-Juniperus
DCK42,2.47,1.42,2.96,14,JJ-14-14,Juniperus-Juniperus
DCK43,2.22,1.29,2.73,14,JJ-14-14,Juniperus-Juniperus
DCK44,3.47,2.08,3.14,14,JJ-14-14,Juniperus-Juniperus
DCK45,2.87,1.67,3.12,14,JJ-14-14,Juniperus-Juniperus
DCK46,2.38,1.43,3.51,14,JJ-14-14,Juniperus-Juniperus
DCK47,1.41,0.88,3.35,14,JJ-14-14,Juniperus-Juniperus
DCK48,2.64,1.57,3.1,14,JJ-14-14,Juniperus-Juniperus
DCK49,3.34,2.0357,3.08,10,JJ-10-10,Juniperus-Juniperus
DCK50,2.19,1.3535,2.66,10,JJ-10-10,Juniperus-Juniperus
DCK51,1.82,1.1104,3.22,10,JJ-10-10,Juniperus-Juniperus
DCK52,2.73,1.6272,2.38,10,JJ-10-10,Juniperus-Juniperus
DCK53,3.93,2.1589,1.83,10,JJ-10-10,Juniperus-Juniperus
DCK54,0.9736,0.6034,2.73,10,JJ-10-10,Juniperus-Juniperus
DCK55,2.438,1.468,2.59,10,JJ-10-10,Juniperus-Juniperus
DCK56,3.8013,2.261,1.91,10,JJ-10-10,Juniperus-Juniperus
DCK57,2.3,1.4319,2.8,10,JJ-10-10,Juniperus-Juniperus
DCK58,1.6055,0.9236,2.28,10,JJ-10-10,Juniperus-Juniperus
DCK59,3.019,1.8313,2.94,10,JJ-10-10,Juniperus-Juniperus
DCK60,5.183,3.1922,3.12,10,JJ-10-10,Juniperus-Juniperus
DCK61,2.6891,1.5317,2.42,10,JJ-10-10,Juniperus-Juniperus
DCK62,4.2058,2.6242,2.86,10,JJ-10-10,Juniperus-Juniperus
DCK63,1.7252,1.0691,2.72,10,JJ-10-10,Juniperus-Juniperus
DCK64,3.6265,2.258,2.42,10,JJ-10-10,Juniperus-Juniperus
DCK65,2.458,1.0981,0.88,2,PP-2-2,Prosopis-Prosopis
DCK66,2.4985,1.1439,1.78,2,PP-2-2,Prosopis-Prosopis
DCK67,1.0583,0.5054,1.71,2,PP-2-2,Prosopis-Prosopis
DCK68,2.5,1.0776,0.94,2,PP-2-2,Prosopis-Prosopis
DCK69,1.6073,0.7721,1.29,2,PP-2-2,Prosopis-Prosopis
DCK70,5.175,2.2954,1.38,2,PP-2-2,Prosopis-Prosopis
DCK71,1.6654,0.6995,1.06,2,PP-2-2,Prosopis-Prosopis
DCK72,2.6733,1.1834,2.33,2,PP-2-2,Prosopis-Prosopis
DCK73,1.8373,0.7759,1.51,2,PP-2-2,Prosopis-Prosopis
DCK74,2.4093,0.9939,0.83,2,PP-2-2,Prosopis-Prosopis
DCK75,4.003,1.6854,1.18,2,PP-2-2,Prosopis-Prosopis
DCK76,1.379,0.6256,1.27,2,PP-2-2,Prosopis-Prosopis
DCK77,1.4606,0.6427,1.35,2,PP-2-2,Prosopis-Prosopis
DCK78,3.2416,1.4439,0.78,2,PP-2-2,Prosopis-Prosopis
DCK79,1.989,0.9191,0.86,2,PP-2-2,Prosopis-Prosopis
DCK80,1.642,0.7473,0.68,2,PP-2-2,Prosopis-Prosopis
DCK81,3.0206,2.0084,7.59,30,PP-30-30,Prosopis-Prosopis
DCK82,0.8519,0.5651,7.8,30,PP-30-30,Prosopis-Prosopis
DCK83,0.7237,0.6265,7.5,30,PP-30-30,Prosopis-Prosopis
DCK84,0.5832,0.5385,7.5,30,PP-30-30,Prosopis-Prosopis
DCK85,0.408,0.3159,7.5,30,PP-30-30,Prosopis-Prosopis
DCK86,0.6237,0.545,7.5,30,PP-30-30,Prosopis-Prosopis
DCK87,0.2681,0.223,7.5,30,PP-30-30,Prosopis-Prosopis
DCK88,0.6406,0.4504,7.5,30,PP-30-30,Prosopis-Prosopis
DCK89,0.3663,0.2833,7.5,30,PP-30-30,Prosopis-Prosopis
DCK90,0.2137,0.1951,7.5,30,PP-30-30,Prosopis-Prosopis
DCK91,0.2502,0.1845,7.5,30,PP-30-30,Prosopis-Prosopis
DCK92,0.2578,0.2356,7.5,30,PP-30-30,Prosopis-Prosopis
DCK93,0.7788,0.5331,7.5,30,PP-30-30,Prosopis-Prosopis
DCK94,0.1696,0.1551,7.5,30,PP-30-30,Prosopis-Prosopis
DCK95,0.4891,0.3652,7.5,30,PP-30-30,Prosopis-Prosopis
DCK96,0.5745,0.4111,7.5,30,PP-30-30,Prosopis-Prosopis
DCK97,1.2105,0.6336,3.54,6,PP-6-6,Prosopis-Prosopis
DCK98,1.1917,0.5412,2.48,6,PP-6-6,Prosopis-Prosopis
DCK99,2.39,1.1287,2.2,6,PP-6-6,Prosopis-Prosopis
DCK100,1.0115,0.5338,4.32,6,PP-6-6,Prosopis-Prosopis
DCK101,0.7242,0.3735,4.26,6,PP-6-6,Prosopis-Prosopis
DCK102,1.5169,0.7832,3.8,6,PP-6-6,Prosopis-Prosopis
DCK103,1.0668,0.4998,3.05,6,PP-6-6,Prosopis-Prosopis
