#,Date-Time (CDT),Temperature   (°C),RH   (%),Dew Point   (°C),Started,Button Down,Host Connected,End of File
1,06/16/2025 06:26:21,20.88,55.31,11.61,Logged,,,
2,06/16/2025 06:27:21,21.23,54.53,11.72,,,,
3,06/16/2025 06:28:21,21.51,54.01,11.83,,,,
4,06/16/2025 06:29:21,21.73,53.84,11.98,,,,
5,06/16/2025 06:30:21,21.92,55.69,12.68,,,,
6,06/16/2025 06:31:21,21.97,57.59,13.24,,,,
7,06/16/2025 06:32:21,21.94,71.59,16.60,,,,
8,06/16/2025 06:33:21,22.04,72.76,16.94,,,,
9,06/16/2025 06:34:21,22.06,73.01,17.02,,,,
10,06/16/2025 06:35:21,22.11,73.16,17.10,,,,
11,06/16/2025 06:36:21,22.21,73.22,17.21,,,,
12,06/16/2025 06:37:21,22.28,73.21,17.28,,,,
13,06/16/2025 06:38:21,22.40,73.08,17.36,,,,
14,06/16/2025 06:39:21,22.43,73.11,17.40,,,,
15,06/16/2025 06:40:21,22.49,72.99,17.43,,,,
16,06/16/2025 06:41:21,22.51,73.02,17.45,,,,
17,06/16/2025 06:42:21,22.57,72.90,17.49,,,,
18,06/16/2025 06:43:21,22.62,72.80,17.51,,,,
19,06/16/2025 06:44:21,22.65,72.81,17.54,,,,
20,06/16/2025 06:45:21,22.68,72.68,17.54,,,,
21,06/16/2025 06:46:21,22.71,72.57,17.55,,,,
22,06/16/2025 06:47:21,22.76,72.72,17.63,,,,
23,06/16/2025 06:48:21,22.78,72.67,17.64,,,,
24,06/16/2025 06:49:21,22.81,72.56,17.64,,,,
25,06/16/2025 06:50:21,22.82,72.57,17.66,,,,
26,06/16/2025 06:51:21,22.85,72.45,17.66,,,,
27,06/16/2025 06:52:21,22.92,72.45,17.72,,,,
28,06/16/2025 06:53:21,22.93,72.46,17.73,,,,
29,06/16/2025 06:54:21,22.95,72.39,17.74,,,,
30,06/16/2025 06:55:21,22.98,72.45,17.78,,,,
31,06/16/2025 06:56:21,22.98,72.45,17.78,,,,
32,06/16/2025 06:57:21,22.99,72.35,17.77,,,,
33,06/16/2025 06:58:21,22.98,72.53,17.80,,,,
34,06/16/2025 06:59:21,23.00,72.40,17.79,,,,
35,06/16/2025 07:00:21,23.00,72.34,17.78,,,,
36,06/16/2025 07:01:21,23.01,72.41,17.81,,,,
37,06/16/2025 07:02:21,23.02,72.47,17.83,,,,
38,06/16/2025 07:03:21,23.03,72.41,17.83,,,,
39,06/16/2025 07:04:21,23.06,72.38,17.84,,,,
40,06/16/2025 07:05:21,23.08,72.20,17.82,,,,
41,06/16/2025 07:06:21,23.13,72.27,17.89,,,,
42,06/16/2025 07:07:21,23.10,72.15,17.83,,,,
43,06/16/2025 07:08:21,23.08,72.11,17.80,,,,
44,06/16/2025 07:09:21,23.10,72.20,17.84,,,,
